trader_address_label,Entity,trader_address,account_value,roi,total_pnl(unrealize profit)
Whale [0xaded86],retail,0xaded86bf6e6fd72f78dca132af112fa36230809e,"2,212,462.91",0.02,"277,158.40"
Token Channel [0xad0ada],retail,0xad0adafdeb71498549ddb78f143f66e0e1105b1f,"2,510,685.72",0.28,"554,176.66"
Trading Bot [0xac7476],retail,0xac7476e14f768e3e67c195e79c2490dd20c70127,"4,889,784.00",0.00,"187,165.63"
High Activity [0xa930cd],retail,0xa930cdefd5c41bbb92081faa33afdd5b3ba0c999,"1,100,719.48",0.11,"423,243.30"
Bridge User [0xa6e2dc],retail,0xa6e2dc44418f5ad213c86db4dbb203a59d13c49f,"438,365.95",0.00,"100,903.31"
Nervous Degen: Funded @NateGoldstein On Friendtech [0xa4dedd],retail,0xa4dedda59f2908b92ae192cfd494839373bcb3c4,"570,596.59",0.03,"147,832.55"
Smart HL Perps Trader [0xa31211],retail,0xa312114b5795dff9b8db50474dd57701aa78ad1e,"21,932,601.62",0.06,"5,256,448.78"
[0x9deef0],retail,0x9deef087fbd279c29980754d7a2f63e66d4634c2,"382,429.65",0.18,"219,040.71"
Token Millionaire [0x9c89f5],retail,0x9c89f595f5515609ad61f6fda94beff85ae6600e,"11,909,720.97",0.05,"155,086.18"
[0x9b86b5],retail,0x9b86b5e96ca9f278f9cb62e118e67937a9350653,"1,008,106.91",0.36,"536,623.71"
Smart HL Perps Trader [0x99b109],retail,0x99b1098d9d50aa076f78bd26ab22e6abd3710729,"4,702,614.10",0.02,"336,514.28"
Whale [0x985f02],retail,0x985f02b19dbc062e565c981aac5614baf2cf501f,"14,943,925.14",0.00,"1,062,398.78"
Passive Uniswap V3 LP [0x975f17],retail,0x975f178fd8a566d98bc935340064c691fa4d8881,"245,726.82",0.16,"389,413.61"
Token Millionaire [0x960bb1],retail,0x960bb18454cd67b5a3edb4fa802b7c0b5b10e2ee,"2,379,141.40",0.00,"380,111.53"
Smart HL Perps Trader [0x95e268],retail,0x95e2687b07f0dec34462fdab6bbebcc0b3ab49c6,"222,350.79",0.09,"151,718.98"
